Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1338.285953,1160.109341,1164.124236,1155.236512,1081.305593,1092.917323,1084.423438,266.6887082,10.00738936,1003.148556,945.7816929,86.51209064,-641.5045261,32.91922854,-792.4269885,1081.706956,-395.8295658,1213.235632,-261.0491775,435.6021434,-436.3023862,15.76531678,-0.258395485,20.41750588,-113.9681414,111.7775682,-115.8519834,1166.868806,1076.949388,335.6021434,-6551.477909,-6958.30822,-6963.593364,-6970.629096,-6898.080707,-6905.423403,-6919.933558,-7034.956813,-6814.520359,-6383.051276,-6310.88376,-5266.630054,-5213.621855,-4400.476217,-4850.572646,-4784.600437,-5769.987702,-4776.931703,-5789.332986,-52.65562795,44.66810264,4096.775651,3787.584603,7483.78098,7579.572201,7948.188186,8053.587675,8561.002612,8582.12471,-52.65562795,-925.1905978,-863.9629185,-853.81791,-851.9314229,-1145.947799,-1148.191169,-1145.63264,-105.1471476,-1543.378979,-614.9103492,-1010.654271,1058.28315,-2036.167234,3740.315139,-4135.623574,6154.971719,-6120.116115,6156.90589,-6164.530516,1027.810648,-1009.6284,2044.110596,-1426.497102,3098.623455,-1661.645919,3097.677827,-1723.988503,2606.135607,-2624.747753,1027.810648
5.5,1345.906854,1172.817349,1176.899672,1168.128625,1091.203615,1103.177294,1094.514206,311.852172,25.86032962,1019.552052,957.3033452,69.55244578,-555.9483916,20.14770173,-800.4789799,1158.112362,-464.8243263,1304.129958,-354.7697142,429.1740805,-429.5578972,26.01870568,26.89097775,46.90173082,-106.4943057,139.9888098,-109.180985,1170.29734,1053.038016,329.1740805,-6553.207636,-6957.949996,-6963.312626,-6970.34657,-6896.186471,-6903.553605,-6918.122172,-7030.969858,-6789.377332,-6381.500959,-6306.523085,-5267.068744,-5228.699446,-4505.940676,-5230.549574,-4923.951626,-6176.46575,-4925.318658,-6204.36728,-52.03080829,44.11393777,4099.400342,3793.822229,7502.843738,7578.124404,7966.826558,8050.578237,8556.836843,8499.901295,-52.03080829,-1057.242751,-984.3496233,-972.8719294,-971.5862572,-1248.838902,-1249.520183,-1246.215329,-190.2873442,-1575.924903,-740.577057,-1118.852645,980.4815799,-2058.018446,3696.185648,-4115.538001,6128.234267,-6038.931608,6126.130223,-6096.591353,1006.437466,-987.4121845,1943.689138,-1340.379268,2985.370457,-1287.983954,2985.500991,-1323.568821,2510.716915,-2214.351594,1006.437466
6,1321.01357,1155.808344,1160.061732,1151.328832,1058.329865,1070.508137,1061.967909,353.1274572,2.555669053,1022.441387,939.5364672,25.04854463,-558.9031801,-85.24811827,-851.0730416,1096.782684,-598.3770639,1247.914433,-487.7308756,425.0890389,-425.1606017,56.28154147,68.08098406,118.2051655,-39.27007783,219.5642702,-39.47515972,1245.957464,1089.714468,325.0890389,-6551.265121,-6952.085495,-6957.569718,-6964.591742,-6887.69877,-6895.283461,-6909.723878,-7020.300031,-6773.164868,-6379.292011,-6300.984621,-5293.488503,-5260.038972,-4677.157402,-5240.257978,-5096.29786,-6037.375331,-5081.059933,-6037.161946,-51.88852083,44.03829575,4109.605551,3806.367218,7517.93623,7568.876743,7981.991768,8037.942648,8553.540707,8487.297893,-51.88852083,-1152.835563,-1066.319197,-1054.780185,-1053.395122,-1323.405951,-1324.083209,-1320.331246,-217.5292559,-1584.756225,-816.4815605,-1187.493801,983.3945334,-2081.078738,3698.738217,-4106.923044,6099.498272,-5885.561109,6095.169783,-5948.702693,1002.84569,-983.8261455,1927.653402,-1252.491176,2961.786091,-1183.661148,2961.931527,-1223.718375,2486.506701,-2128.965855,1002.84569
6.5,1320.165992,1148.997173,1153.200865,1144.572422,1057.537124,1069.497541,1060.976982,340.7255933,10.8078518,1021.172404,941.3982928,-14.43688292,-508.0665275,-167.2750339,-818.4371889,873.1646091,-603.9354205,1005.033553,-513.0914599,390.8856958,-391.3761675,59.28513594,94.61679496,126.3917424,-2.718277101,224.5048992,-3.950224782,1247.268841,1104.347333,290.8856958,-6605.727077,-6999.769807,-7004.985809,-7011.808157,-6931.860447,-6939.582825,-6954.017878,-7031.596303,-6777.073741,-6414.611936,-6331.563592,-5301.205516,-5271.881223,-4673.177004,-5203.902125,-5120.454431,-6119.523644,-5121.536255,-6132.135987,-51.68201867,43.87412686,4116.192162,3819.861412,7541.081905,7574.084401,8005.548716,8041.696548,8561.908007,8481.242657,-51.68201867,-1119.073704,-1042.804942,-1031.208336,-1029.792801,-1304.27599,-1304.939836,-1301.425546,-218.5937017,-1591.401547,-797.1994579,-1172.539741,977.6085615,-2097.751647,3813.229799,-4161.739647,6400.32351,-5992.316008,6403.075457,-6043.225527,1000.378132,-981.3473374,1927.625984,-1189.179197,2967.946529,-1083.956659,2968.311608,-1114.974245,2495.879978,-1979.821771,1000.378132
7,1316.920668,1140.089259,1144.215465,1135.631949,1054.736599,1066.605225,1058.039591,299.342256,14.75186786,1015.36341,941.8028593,-61.84767,-480.9463024,-261.424575,-806.8979532,773.1944323,-614.9596348,909.1223031,-535.1183563,353.9088741,-354.5709699,16.34073444,98.66995737,105.6014188,-3.932319232,200.0700682,-6.444213213,1207.713336,1100.140959,253.9088741,-6662.530303,-7052.097917,-7056.950331,-7063.552141,-6982.473135,-6990.295649,-7004.636526,-7050.547004,-6789.81185,-6456.06041,-6371.047497,-5307.315588,-5282.052755,-4711.253941,-5236.43434,-5072.066784,-6130.694151,-5068.146586,-6147.686839,-51.37089174,43.62951033,4122.067094,3832.90112,7558.69031,7576.678395,8022.888303,8043.25819,8564.448357,8477.280736,-51.37089174,-1093.680933,-1028.168947,-1016.569212,-1015.366763,-1294.029951,-1294.625551,-1291.674376,-238.8877235,-1614.520401,-787.0197296,-1164.213419,962.7100825,-2127.106637,3793.50096,-4201.487303,6378.32284,-6039.156318,6375.824809,-6086.863279,1000.191793,-981.1891615,1878.856122,-1109.925658,2915.900648,-962.696597,2914.549112,-988.9800102,2439.669073,-1845.113188,1000.191793
7.5,1319.523752,1138.214543,1142.311767,1133.742183,1059.299037,1070.968583,1062.38611,252.9946715,23.55921082,1010.404974,945.6022829,-70.32374851,-485.4282737,-240.3841726,-725.2531499,799.0147173,-589.8370221,935.5662763,-525.9913951,346.1050987,-346.9061479,20.34255071,102.2516005,108.6898521,-0.672206952,200.9961195,-3.961396287,1203.985661,1102.123559,246.1050987,-6668.627262,-7059.702277,-7064.413428,-7070.996165,-6989.687085,-6997.635961,-7011.983991,-7056.470513,-6795.26329,-6460.874677,-6376.427412,-5307.856202,-5280.454755,-4586.386383,-5066.010952,-4958.424866,-6027.531624,-4963.912368,-6043.258309,-51.24774296,43.59938204,4120.784104,3833.799362,7556.923032,7578.957081,8021.258712,8044.80195,8567.391038,8476.53687,-51.24774296,-1001.151279,-956.1561048,-944.6844459,-943.8081086,-1232.41581,-1233.081296,-1230.945587,-233.6847223,-1623.11241,-720.6389308,-1107.961982,976.0099649,-2146.610767,3813.744485,-4211.468101,6335.256696,-6089.137197,6331.147552,-6140.154004,1001.168042,-982.2627902,1925.137341,-1136.831939,3034.421206,-1062.41636,3036.550581,-1098.889038,2571.682334,-1983.831972,1001.168042
8,1324.918717,1140.592918,1144.680753,1135.948971,1061.479449,1073.170975,1064.845175,251.3828874,8.184272447,1011.760384,946.0905939,-44.09165122,-532.422401,-94.02466007,-751.3516396,948.1479973,-683.5020334,1094.942763,-618.0424243,354.976207,-355.5143252,56.04874343,112.9483711,142.1209518,60.09168457,243.8263595,66.2572775,1264.071316,1187.53314,254.976207,-6634.057164,-7028.020024,-7032.715678,-7039.567828,-6958.386302,-6966.586709,-6980.634928,-7031.207085,-6781.145334,-6432.676911,-6352.788806,-5280.201435,-5262.713432,-4308.913052,-5025.918484,-4708.650708,-6019.687057,-4741.32508,-6067.116857,-51.099509,43.55920944,4116.686583,3832.702041,7559.763789,7572.356462,8025.950193,8038.63585,8569.412827,8478.230834,-51.099509,-1002.480388,-952.4121135,-940.9953654,-940.1430935,-1229.93432,-1230.569258,-1228.27433,-207.8095451,-1616.451442,-715.8431411,-1105.493754,1020.438671,-2152.56691,3766.821027,-4199.287593,6018.692255,-6029.950976,6024.820209,-6101.151705,1000.632495,-981.8582982,1966.387928,-1220.566332,3084.797561,-1276.240051,3089.537323,-1320.833117,2621.396184,-2248.237729,1000.632495
8.5,1340.362132,1156.2673,1160.302758,1151.604503,1075.834557,1087.428555,1079.226509,249.7761883,15.17128665,1024.828926,958.2848847,-27.96897199,-563.2428452,-79.21880111,-728.2546163,873.6529201,-548.1557921,998.3979911,-500.9066686,353.7300974,-354.3736041,64.75440226,99.71506894,100.1981273,13.31734238,194.7347075,14.84838896,1246.397346,1170.924157,253.7300974,-6604.69532,-6999.442577,-7004.209161,-7011.110187,-6932.030916,-6940.358281,-6954.349875,-7016.272545,-6773.662567,-6409.967542,-6333.143115,-5275.388956,-5228.110552,-4205.329418,-4506.499469,-4395.033419,-5394.652486,-4414.384067,-5456.544757,-52.93714348,45.41491158,4094.287455,3824.838698,7541.311979,7572.1246,8010.808825,8039.556146,8569.301367,8498.344421,-52.93714348,-966.9260681,-910.7391536,-899.4068205,-898.1066197,-1190.163046,-1191.285774,-1188.922897,-165.8367179,-1623.94762,-671.1714715,-1063.802913,1068.135947,-2188.402116,3760.659099,-4228.794873,5981.624126,-6206.108928,5984.839201,-6267.086864,1007.552296,-989.0363365,2014.42346,-1333.669573,3155.323565,-1533.310264,3160.746992,-1596.27527,2694.304287,-2503.402233,1007.552296
9,1290.013045,1064.55639,1068.977639,1060.526818,1004.286632,1014.740169,1006.715,88.31357583,-73.78966082,951.8600255,909.4195068,-40.17689265,-777.5746286,-97.51815349,-1070.299149,898.8500386,-558.4160984,1015.134752,-485.0928858,360.8300164,-361.8666157,-11.81954052,17.63921464,-52.16300488,-86.31390519,43.14065445,-81.47492073,1169.754639,1140.440553,260.8300164,-6630.216241,-7017.666698,-7022.631764,-7029.50418,-6952.611208,-6960.908175,-6975.178719,-7018.23473,-6778.808236,-6423.610449,-6350.358129,-5264.454484,-5198.324919,-3782.310784,-4150.049388,-3291.6677,-4455.062747,-3240.304291,-4448.082745,-55.16775884,47.53718618,4089.528918,3795.555234,7509.253621,7564.788461,7979.594469,8036.340475,8565.363288,8524.106741,-55.16775884,-988.2261604,-942.2535449,-931.8000078,-929.8489243,-1242.60366,-1245.20734,-1242.592037,-233.7132767,-1747.842133,-698.7076998,-1110.410392,957.698971,-2262.565494,3458.377719,-4407.780468,5465.217233,-6691.077352,5454.882979,-6722.403169,1024.180874,-1006.603763,2101.878226,-1336.755455,3254.792392,-1519.174576,3260.636926,-1589.934975,2790.935338,-2548.154294,1024.180874
9.5,1267.184317,1037.082896,1041.102633,1033.636704,982.8590602,991.8192774,985.0392491,75.96052717,-88.68238889,920.6684679,877.6985109,-55.73627539,-830.0683647,-314.5724908,-1353.411824,614.3945456,-850.7310599,716.9082761,-730.3912193,352.3207828,-353.2188013,-56.78572226,35.25321605,-47.12002352,-60.40288601,60.22553425,-51.89319607,1242.485046,1200.034395,252.3207828,-6658.529639,-7037.320137,-7041.986585,-7048.924565,-6987.931132,-6997.085214,-7010.755539,-7016.620636,-6825.416088,-6437.907219,-6381.664872,-5253.180265,-5369.625688,-3523.548543,-4168.567657,-2359.878868,-3461.257815,-2265.734226,-3380.437195,-52.04801448,44.57027651,4076.905549,3751.259148,7476.238608,7545.912266,7939.856052,8013.506532,8499.014378,8513.002396,-52.04801448,-646.5958059,-566.9236183,-558.3859235,-556.1915785,-872.4116534,-877.4571121,-875.2028644,159.2687331,-1378.029734,-353.0425206,-765.8080012,1187.900677,-1991.480589,2682.68019,-4286.093414,3166.044056,-6872.397661,3066.247702,-6936.804056,1046.38502,-1029.676124,2213.10243,-1306.034625,3395.473957,-1557.50066,3404.973447,-1644.898653,2908.904254,-2657.542229,1046.38502
10,1145.853326,927.1733463,930.6320548,924.9005467,862.0353788,869.0029383,863.788873,56.94672465,-217.1993442,837.0203525,752.5672019,-172.315985,-900.2566338,-957.2552145,-1627.225578,-117.7155785,-900.1185,-26.79499099,-746.6074079,350.0333056,-351.1023894,-145.4379316,-32.97126386,-102.922665,-66.12957921,6.61272672,-56.31858949,1189.946756,1195.685118,250.0333056,-6692.864895,-7062.293887,-7066.621184,-7073.426843,-7023.538947,-7034.091353,-7046.986222,-7018.3599,-6864.998937,-6467.179656,-6424.931884,-5254.13096,-5491.909385,-3392.412364,-3949.707747,-1968.230754,-2581.242025,-1854.55054,-2469.765842,-45.79020198,38.56197465,4076.807201,3748.942912,7456.992865,7547.637224,7915.161848,8015.277982,8518.5498,8623.912334,-45.79020198,-477.1663994,-356.150046,-348.3169526,-346.0789844,-658.2391262,-663.3872539,-661.6017222,441.6734725,-1062.804684,-158.2012139,-563.4101108,1447.008997,-1791.709512,2377.477139,-3611.671031,2587.087452,-5635.241866,2464.307398,-5592.418909,1072.564125,-1056.380421,1983.222365,-1309.633255,3002.176881,-1589.926928,3001.181781,-1671.846062,2462.947965,-2656.204402,1072.564125
10.5,1121.88518,905.1691741,909.1698378,903.5091847,835.4216069,841.9205248,837.1715248,56.66921381,-250.0039525,827.2526413,731.9755107,-120.3833986,-931.8234026,-798.1587201,-1852.256656,49.29877352,-1100.583076,129.3057017,-914.9718285,378.9795563,-380.3028166,-140.1867718,-38.78867021,-101.2055203,-70.29512431,6.466847844,-62.39491049,1175.384,1163.729504,278.9795563,-6707.175374,-7067.325115,-7071.743011,-7078.544497,-7035.309076,-7046.433091,-7059.326172,-6998.528838,-6871.780753,-6474.424005,-6440.863609,-5188.830495,-5555.795431,-3198.417127,-3972.65017,-1446.629018,-2215.707302,-1294.108331,-2054.058462,-26.89228859,19.70664365,4086.193144,3750.204146,7458.885908,7613.068819,7916.687727,8093.062043,8557.929397,8670.370579,-26.89228859,-385.1479664,-246.7614785,-239.1121536,-236.3123186,-543.4981734,-548.56278,-547.0097438,576.7194182,-907.1467072,-59.58997644,-459.2110217,1577.971727,-1659.589112,2155.507654,-3288.391829,1755.097657,-5097.851753,1603.328586,-5048.226714,1083.874032,-1066.767722,1697.948575,-1390.718222,2597.397566,-1692.077368,2588.464916,-1780.332774,2024.330795,-2803.28691,1083.874032
