Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,318.13547015190125,377.82058119773865,379.5204311609268,380.20115345716476,41.16031341254711,44.24496553838253,43.17943472415209,785.1222902536392,-727.4668664,502.5736988,66.93426053971052,1547.0390021800995,-1669.101566,1662.939339876175,-2499.906421,1824.936866760254,-2603.489757,1676.846444606781,-2442.98026,112.42768913507462,-1127.756014,179.9379289150238,-579.9657106,187.49335408210754,-90.65383114,190.8976137638092,-51.09649152,232.0532351732254,-326.0597587,1024.2768913507462,-5884.78148,-6253.936291,-6256.960034,-6261.765361,-6219.261289,-6230.496764,-6242.655516,-6082.179546,-6065.894961,-5617.242455,-5606.090426,-4273.321033,-4202.791452,-1896.330565,-1560.195088,-135.4205795,705.3519785404205,-18.95708847,855.4200828075409,-22.54118398,223.46019744873047,24.13506619632244,4403.853118419647,413.9555096626282,7996.167540550232,459.97506380081177,8458.065390586853,512.6842856407166,9000.593423843384,-225.4118398,-2292.549461,-2085.165083,-2075.376809,-2076.991946,-2120.166421,-2127.804905,-2121.059,-887.8849447,-1216.247603,-1880.223602,-1946.795434,-45.10547966,-732.4708998,38.36273215711117,-443.1660473,-1596.574336,-1009.970009,-1732.007563,-1117.235497,26.034098118543625,-246.6913313,-344.3116248,-61.68256979,-393.0999041,781.8306237459183,-404.1404724,757.0931315422058,-535.0921154,-585.0306898,260.34098118543625
5.5,143.7335741,207.78127014636993,208.66289734840393,210.45632660388947,-126.5273616,-124.3541297,-125.3259648,529.2346328496933,-959.3171626,285.9458513557911,-143.1231573,1325.7619738578796,-1914.760023,1532.445102930069,-2670.139372,1672.56698,-2634.810507,1511.2119913101196,-2462.025285,111.45027726888657,-1117.371172,271.14802598953247,-629.0281564,277.47079730033875,-80.87217808,283.4901213645935,-33.2935527,361.0347807407379,-270.3261562,1014.5027726888657,-5930.792689,-6301.717162,-6304.898858,-6309.182048,-6267.40396,-6279.159188,-6291.42046,-6122.374535,-6098.073125,-5655.713677,-5642.756224,-4294.522703,-4222.278595,-1917.324513,-1617.772579,-3.113052517,700.8002698421478,135.35605743527412,854.0580421686172,-25.06409213,248.34420531988144,31.056899577379227,4352.174997329712,426.39657855033875,7872.573733329773,472.9015529155731,8331.042528152466,522.9187012,8910.553455352783,-250.6409213,-2536.092699,-2317.29418,-2307.012379,-2309.651822,-2380.376458,-2388.570011,-2381.892353,-1105.615571,-1548.222303,-2118.461579,-2215.140909,-269.4215998,-1109.474003,-164.8862474,-866.6094393,-1600.557715,-1484.422535,-1743.39503,-1584.427506,28.324762359261513,-271.1725608,-320.3572631,-366.6416928,-289.2101705,676.8215447664261,-292.7987278,670.4846024513245,-407.7350795,-676.3736904,283.2476235926151
6,-123.6330997,-89.83612992,-89.32813071,-88.26397359,-405.9657827,-404.7954082,-406.5462202,100.43741203844547,-1310.955584,-29.8928353,-436.3603517,977.0593792200089,-2171.644419,1247.6784735918045,-2811.994255,1688.6766254901886,-2722.775638,1553.2663464546204,-2549.120486,107.97590762376785,-1081.979647,340.21151065826416,-301.7695807,358.8672876358032,-35.37101904,368.5744106769562,0.44089982111472636,477.07676887512207,-50.65705162,979.7590762376785,-5977.981091,-6349.25127,-6352.869272,-6356.932521,-6309.810281,-6322.04473,-6334.815621,-6172.037721,-6114.521027,-5703.710914,-5681.078434,-4330.362678,-4212.404191,-1941.554248,-1615.568399,104.81661185622215,737.9636168,266.9372223317623,907.2825312614441,-26.9446373,266.3229964673519,55.28094992041588,4397.288262844086,465.15047550201416,7981.203794,512.2342109680176,8454.668521881104,555.6383728981018,8956.631422042847,-269.446373,-2737.153769,-2514.750361,-2504.278123,-2506.714165,-2620.614171,-2628.361583,-2619.976401,-1273.525506,-1889.649332,-2300.111055,-2454.483658,-273.4153718,-1478.804052,148.8139759749174,-1235.784218,-980.4982692,-1970.590204,-1144.993007,-2075.044513,40.13146460056305,-389.2798349,-239.7205085,-382.3366389,-184.9307716,650.5747139453888,-185.6666505,644.3087011575699,-290.9303308,-732.0649177,401.3146460056305
6.5,-226.0602824,-215.3090015,-215.0275931,-214.5577036,-522.3606899,-521.3899165,-523.9417776,-111.6397418,-1468.852162,-157.7229425,-548.5883728,772.9689031839371,-2235.480994,974.6412187814713,-2912.836373,1623.198240995407,-2831.303179,1537.436991930008,-2660.974264,102.57288813591003,-1028.260887,352.53992676734924,-261.0385232,369.9871301651001,-218.7702991,380.5379867553711,-205.4403536,497.8853166103363,-96.99613787,925.7288813591003,-6071.661711,-6442.219019,-6445.482373,-6450.160146,-6395.341754,-6407.992244,-6420.757174,-6255.13494,-6155.611873,-5792.469978,-5759.355426,-4391.466081,-4245.330691,-1989.724487,-1676.466763,-3.667856217,783.1971347332001,170.9851250052452,974.1510450839996,-27.39991434,270.64941823482513,85.877195,4402.285814285278,472.40185737609863,8033.717871,518.2092189788818,8513.543009757996,559.5530867576599,8974.729180335999,-273.9991434,-2791.14902,-2571.954429,-2561.140656,-2562.85131,-2694.482207,-2701.785266,-2693.696618,-1320.513934,-2029.16652,-2348.260432,-2524.880469,-234.9649183,-1756.213605,362.9464656114578,-1621.773839,-660.508126,-2333.989292,-836.058706,-2429.365516,52.07258090376854,-508.9618266,-162.4462903,-449.6275634,-72.87294418,462.2074216604233,-70.55132091,446.99691236019135,-156.8938494,-908.7788314,520.7258090376854
7,-219.110474,-203.7033252,-203.3144794,-202.7845755,-514.325276,-513.157472,-515.5488849,-84.73156951,-1460.179836,-145.1821718,-540.8627167,741.6655123233795,-2229.263186,817.5726234912872,-2964.113057,1497.5343644618988,-2964.711189,1450.0325918197632,-2799.432874,97.96609729528427,-981.9404036,366.27188324928284,-242.5954491,377.1857023239136,-311.2145513,387.1762454509735,-294.2223102,505.0163269042969,-91.77765809,879.6609729528427,-6145.756841,-6515.660882,-6518.277526,-6523.331404,-6473.709941,-6486.535668,-6498.880386,-6334.701777,-6246.712208,-5867.861509,-5839.191079,-4442.872703,-4412.39804,-1994.919628,-1856.634319,-18.08884321,721.4305549860001,160.7036404311657,937.1244907,-26.80970728,264.45183902978897,88.36580067873001,4378.539323806763,458.9155912399292,8014.0626430511475,502.41708755493164,8493.234515190125,546.1153984069824,8964.078426361084,-268.0970728,-2718.104422,-2499.937117,-2488.655448,-2490.35731,-2637.171447,-2643.612623,-2636.556625,-1219.228655,-1998.036802,-2259.578258,-2456.499487,6.378151010721922,-1754.065752,625.7373839616776,-1637.402177,-453.0816525,-2354.73156,-634.6565485,-2454.87377,62.84392625,-616.7975813,-126.2369901,-536.9964242,-17.91927591,380.8186948299408,-13.97749595,369.81619894504547,-92.12439507,-966.4341062,628.4392625
7.5,-211.3193646,-193.0004917,-192.8215846,-192.4229972,-505.7235435,-504.7275126,-507.2388053,-78.98210548,-1458.70015,-140.5133121,-538.2457748,740.6233996152878,-2219.177932,811.2804591655731,-2966.045439,1512.9365026950836,-2982.358932,1471.9659090042114,-2818.672955,97.37295657396317,-976.0522842,362.1334135532379,-251.8140338,375.18179416656494,-294.3951637,385.2517902851105,-268.9368837,499.9784231185913,-91.49249643,873.7295657396317,-6166.928411,-6537.354589,-6539.981961,-6545.103788,-6494.216323,-6507.070661,-6519.38796,-6353.89924,-6263.555884,-5888.234377,-5858.787894,-4454.793334,-4423.829615,-1994.501948,-1871.552616,-43.00143104,708.6595892906189,132.66201131045818,927.4855256080627,-26.62652917,262.59440928697586,95.36266326904297,4381.786286830902,467.3859775066376,8030.812740325928,510.9584331512451,8509.835004806519,551.5433549880981,8979.275822639465,-266.2652917,-2668.685317,-2449.804991,-2438.726872,-2440.172434,-2582.722604,-2589.18792,-2581.874728,-1173.452586,-1936.943531,-2212.275863,-2405.304462,17.396449111402035,-1713.445634,623.9572539925575,-1588.809043,-464.7936672,-2316.552103,-646.4034319,-2419.66024,62.146641314029694,-609.8040566,-141.2788033,-534.677878,-44.26714033,390.22620767354965,-41.26322642,381.43306970596313,-125.7248819,-957.7226639,621.4664131402969
8,-261.4690177,-224.0370214,-223.7685584,-223.2437581,-546.6578901,-545.9422246,-548.5008657,18.612549174576998,-1437.402666,-147.3231707,-557.2025478,926.7961978912354,-2205.465883,1108.0308258533478,-2915.267944,1656.2619805335999,-2928.971648,1580.8756649494171,-2764.399946,100.70846229791641,-1009.557247,282.9814851284027,-392.1598196,285.6733798980713,-172.8198119,292.53143072128296,-130.6129619,387.6376152038574,-69.16570943,907.0846229791641,-6195.800304,-6564.595103,-6567.411423,-6572.625041,-6515.462399,-6528.350115,-6540.558934,-6382.571459,-6272.231936,-5921.996832,-5884.52816,-4480.707645,-4367.838204,-2035.738081,-1802.188754,-152.4587907,714.9261981248856,13.465355150401592,921.3817864656448,-26.83372237,264.7932432591915,95.56916356086731,4355.4699420928955,478.6206781864166,7931.510806083679,523.4698653,8404.868841171265,567.3258900642395,8968.967795,-268.3372237,-2341.324389,-2111.820132,-2102.059126,-2103.12143,-2192.948014,-2199.374586,-2192.079723,-868.6458319,-1388.455033,-1909.737736,-2039.586753,69.64582484215498,-1089.100465,495.33650279045105,-849.628821,-653.8815051,-1483.028531,-812.9288256,-1585.054994,45.750897377729416,-445.2924058,-270.9546089,-501.1998862,-213.1801695,436.4536702632904,-212.9642367,430.7264835,-321.5163648,-885.0630373,457.50897377729416
8.5,-190.1810244,-127.4033729,-126.0146406,-125.6765891,-467.1157151,-465.9894109,-468.2284594,393.00359785556793,-1152.941585,33.926842734217644,-409.1375321,1321.4902579784393,-1939.232796,1675.412654876709,-2607.861161,2070.7979798316956,-2764.093876,1947.7993249893188,-2605.823874,106.45531117916107,-1067.888886,174.85640943050385,-405.0032422,209.96691286563873,171.5412363409996,218.33346784114838,224.30555894970894,267.6529586315155,-78.89450528,964.5531117916107,-6027.193069,-6397.951841,-6400.964856,-6406.313181,-6344.96212,-6356.758475,-6368.875504,-6262.654066,-6156.734228,-5780.006051,-5742.216706,-4362.796545,-4220.119715,-1873.358041,-1620.835215,103.9503701031208,703.6932557821274,265.58300480246544,880.6371688842773,-26.79030038,264.78948071599007,121.99725210666656,4362.264573574066,485.8524799346924,7952.883839607239,529.0852785110474,8426.008820533752,577.5346755981445,8983.582854270935,-267.9030038,-2620.894313,-2416.969836,-2408.040017,-2408.692986,-2412.914187,-2421.437055,-2414.155304,-1228.790656,-1408.289522,-2216.5142,-2241.325974,-354.3986008,-1076.134443,-23.28763017,-771.1177319,-938.3589774,-1327.804178,-1068.3503,-1428.99707,28.84417399764061,-275.6471559,-307.6286614,-232.7509969,-334.101975,575.2502381801605,-342.3601389,547.0198020339012,-470.2984095,-731.2104106,288.4417399764061
9,69.98390424996614,118.66479180753231,120.6403598189354,120.7462977617979,-217.2535844,-215.1627466,-216.5228501,642.2780454158783,-894.6464211,306.2347136437893,-136.9532105,1481.8568527698517,-1739.16623,1952.9737532138824,-2555.678487,2594.270408153534,-2762.547433,2479.3586134910583,-2601.148486,108.49839448928833,-1087.860614,82.60692656040192,-418.0002958,125.87420642375946,137.41233386099339,134.2783421,189.64655697345734,143.05347204208374,-262.3320371,984.9839448928833,-5705.534816,-6083.411574,-6087.092757,-6093.404889,-6044.161916,-6054.555178,-6068.049073,-5972.847939,-5918.847322,-5473.080277,-5449.299812,-4142.985046,-4073.038995,-1680.51526,-1481.397599,468.91406178474426,827.4356276,656.3714891672134,997.4662959575653,-22.20070921,219.6706272661686,191.40268862247467,4439.003765583038,502.18677520751953,8273.649215698242,538.8973355293274,8759.770393371582,554.7735691070557,9217.143058776855,-222.0070921,-2914.555669,-2716.808021,-2706.841528,-2708.402872,-2739.584446,-2748.059332,-2740.69041,-1520.828903,-1776.880175,-2495.829612,-2562.156618,-628.5025179,-924.9331802,-365.8325225,-428.3923656,-1377.612352,-1004.520655,-1502.592564,-1105.275899,10.889037512242794,-94.13311258,-355.774492,319.00521367788315,-466.0755098,707.5564563274384,-482.953757,628.1509995,-626.0163188,-629.125461,108.89037512242794
9.5,182.21328034996986,247.6528100669384,250.32280012965202,249.7888170182705,-94.02764961,-92.44845249,-93.28341112,743.9040392637253,-800.9073883,403.95259857177734,-41.63178615,1542.4786508083344,-1676.041186,1999.3525743484497,-2556.377649,2611.1015677452087,-2705.505192,2498.471438884735,-2530.913949,109.41532999277115,-1097.509861,90.92180431,-497.5393787,121.92653119564056,103.52533310651779,129.24857437610626,144.74480412900448,141.28640294075012,-381.692946,994.1532999277115,-5471.122265,-5861.936808,-5866.150856,-5871.583819,-5835.927725,-5846.124291,-5859.282017,-5789.996982,-5781.927109,-5250.751972,-5241.900086,-4034.439921,-3988.851905,-1611.703038,-1408.268511,570.5813318490982,923.0485558509827,762.1955871582031,1079.6205699443817,-18.09313707,177.98284068703651,206.7962884902954,4427.703022956848,529.4920802116394,8294.157386,567.2925114631653,8786.903023719788,593.2415127754211,9221.276640892029,-180.9313707,-3325.726986,-3150.123358,-3142.623007,-3143.227696,-3158.687949,-3168.68186,-3160.557449,-1948.998719,-2160.821855,-2890.090644,-2926.721275,-960.3717178,-1336.026043,-669.7593629,-778.8420469,-1695.365757,-1379.761547,-1829.782277,-1480.244249,5.665324628353119,-42.22400021,-344.2731798,17.640715232118964,-332.2890401,668.5558706521988,-335.4575932,624.1242960095406,-471.6603458,-652.0988792,56.65324628353119
